Timestamp,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
1741818508.2104025,-13583.78095433485,-4322.514453234012,-16449.855738861053,-30010.41323070684,-21808.84293423211,-18008.264065773972,-34438.94200789237,-187500.02235174447
1741818508.2104428,-13928.064874179945,-4664.205570722291,-16806.500173389933,-30382.815645076713,-22171.857615930752,-18353.77733156411,-34798.46981745599,-187500.02235174447
1741818508.2104828,-13891.497420251062,-4636.53411108662,-16774.51482707439,-30340.81671724519,-22148.298877274858,-18297.272121581093,-34758.68371232554,-187500.02235174447
1741818508.210522,-13562.010355235381,-4298.1734035221825,-16423.234811214785,-29981.624183848406,-21794.873093947543,-17936.73848351699,-34402.21809175231,-187500.02235174447
1741818508.210573,-13617.554440206819,-4370.458945090645,-16456.941241853387,-30021.678509912315,-21823.662140805976,-18004.17369653865,-34444.5299440062,-187500.02235174447
1741818508.2106135,-13993.510781945084,-4754.908949721927,-16815.306760705324,-30379.77580783079,-22180.86536894624,-18378.990099309696,-34807.72343966048,-187500.02235174447
1741818508.210653,-14049.993640183646,-4811.481214938309,-16860.747857182963,-30419.91954087252,-22227.26759043546,-18423.626532986946,-34848.64948375815,-187500.02235174447
1741818508.210698,-13690.152906197656,-4455.462629254178,-16500.907123196976,-30049.819356181546,-21867.628022149565,-18056.409723330704,-34481.27621189073,-187500.02235174447
1741818508.2107382,-13631.568983980296,-4399.538564627,-16447.084122548596,-30005.406439948852,-21813.715614523368,-17990.695594632103,-34427.363804264525,-187500.02235174447
1741818508.210778,-13994.941293590224,-4775.427851131899,-16813.160993237616,-30367.817624547202,-22187.660299260653,-18349.217575695227,-34791.13844527465,-187500.02235174447
1741818508.2108176,-14128.694132410781,-4922.681143603461,-16939.940087788116,-30480.202195668484,-22317.233361868068,-18481.674013337375,-34917.492856680496,-187500.02235174447
1741818508.2108574,-13771.937939159625,-4563.756831140141,-16568.43174319646,-30094.81341777008,-21943.847470742163,-18132.763282390035,-34543.68228240994,-187500.02235174447
1741818508.2109084,-13621.331885019767,-4403.785396073508,-16416.86456404502,-29961.060578949524,-21779.517445506746,-17984.682975373624,-34393.90324281493,-187500.02235174447
1741818508.2109482,-13937.989048718102,-4723.303583062123,-16732.918230643063,-30284.825597384646,-22100.577902862777,-18291.013633133607,-34715.96952867145,-187500.02235174447
1741818508.210991,-14113.159670014344,-4902.341056149132,-16902.836191992308,-30456.08466340121,-22284.46570449659,-18467.23478641925,-34891.09544647878,-187500.02235174447
1741818508.2110305,-13820.620038583284,-4604.213488604247,-16605.75915643682,-30149.39637772994,-21996.105849278672,-18184.17229463724,-34594.04076266775,-187500.02235174447
1741818508.21107,-13589.54770440432,-4376.62802656031,-16373.323365846083,-29917.1617528393,-21768.967422123842,-17955.804521537368,-34359.95094298732,-187500.02235174447
1741818508.21111,-13865.16706528271,-4648.7828670481285,-16654.97769772741,-30205.722773757312,-22045.34674231371,-18223.01962650056,-34643.28165570279,-187500.02235174447
1741818508.2111611,-14110.902143824356,-4888.930009475948,-16906.72539552753,-30461.940820448497,-22291.998242378027,-18472.12981845496,-34895.23051920301,-187500.02235174447
1741818508.2112007,-13872.923120608702,-4641.943233244805,-16673.663756092043,-30222.79950652117,-22053.102797639705,-18244.18672849974,-34662.66061814554,-187500.02235174447
1741818508.2112553,-13545.179491660536,-4312.702037418132,-16350.435179523849,-29899.72739216416,-21728.846040826564,-17923.238029865985,-34338.76148924369,-187500.02235174447
1741818508.2112956,-13759.86799715376,-4529.424551656789,-16571.181007764462,-30131.135002509953,-21948.116653933128,-18138.127701059308,-34562.68126519695,-187500.02235174447
1741818508.211336,-14050.641840772849,-4821.584203432108,-16867.05104911936,-30432.43651776749,-22246.490090667023,-18430.332056323536,-34861.54644030886,-187500.02235174447
1741818508.2114413,-13898.247647076565,-4663.78088757764,-16718.791928147308,-30274.633201913024,-22099.259149939913,-18284.621034219388,-34711.27566233584,-187500.02235174447
1741818508.211481,-13542.698448025996,-4311.651505428732,-16365.14262737544,-29914.904226649312,-21746.05688405715,-17943.823986509324,-34354.6088760625,-187500.02235174447
1741818508.2115204,-13657.944042437559,-4426.919451584751,-16484.813867189154,-30046.198373579788,-21860.36370520159,-18055.33683959685,-34478.50459557827,-187500.02235174447
1741818508.2115605,-13981.239674239121,-4738.480417547276,-16808.310664690813,-30377.942964785456,-22177.400848555666,-18364.103837502462,-34806.829369882274,-187500.02235174447
1741818508.2116,-13944.76162728806,-4702.427053740866,-16778.068754442782,-30337.15103115452,-22149.260002286435,-18337.885241256387,-34772.18416597655,-187500.02235174447
1741818508.2116506,-13565.452523881499,-4322.313287533914,-16399.273741158693,-29944.944971197245,-21776.209387327362,-17968.880292043723,-34386.124835744486,-187500.02235174447
1741818508.211692,-13585.904370058104,-4341.401677298746,-16414.763500066223,-29968.25784066413,-21796.147143381495,-17984.951196307087,-34404.38621096447,-187500.02235174447
1741818508.211732,-13934.65863879426,-4689.910076845894,-16764.188321136036,-30327.62918801656,-22142.643885927664,-18328.452805096247,-34758.88487802564,-187500.02235174447
1741818508.211772,-14000.372767492863,-4755.870074733505,-16838.66433366112,-30398.640680151067,-22210.503782093976,-18399.59840769749,-34831.08101261628,-187500.02235174447
1741818508.211812,-13610.625399425675,-4366.3238723664135,-16452.53794819569,-29996.733963100192,-21822.36573962757,-18015.70719667759,-34439.21022882584,-187500.02235174447
1741818508.211856,-13515.67518897953,-4266.813906051387,-16353.89969991442,-29903.52718872156,-21728.64487512647,-17917.292465840874,-34343.120079412474,-187500.02235174447
1741818508.2118957,-13868.430419973187,-4616.216375376746,-16705.202067518483,-30268.41941695445,-22081.109533442206,-18265.04090607654,-34702.06674362025,-187500.02235174447
1741818508.2119355,-14005.468965228674,-4751.377374097989,-16844.878118619697,-30407.469619210915,-22216.605808330278,-18397.96673035225,-34843.12860287769,-187500.02235174447
1741818508.2119858,-13696.120821967224,-4441.537492458522,-16535.50762361379,-30082.408199597383,-21906.63181622408,-18096.173476716696,-34527.43256419093,-187500.02235174447
