Timestamp,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
1741731683.9051564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1741731684.38982,-76586.3748295754,-83945.35141531842,-74776.64348800702,-76286.30266026291,-126686.29010752322,-74879.52856773479,-75796.30771831366,-187500.02235174447
1741731684.3898387,-75989.04681075178,-82952.91160975833,-76129.75104209794,-74645.72932073228,-128300.89071999678,-74631.84888742553,-74973.71881886946,-187500.02235174447
1741731684.389856,-75860.34546617811,-82999.22442426973,-76427.07394684243,-74415.8639807539,-128392.801093197,-74502.32052830703,-75889.46978920339,-187500.02235174447
1741731684.3898644,-76431.9913306226,-83990.90427051834,-75105.34824196676,-76015.89125584261,-126784.16839649301,-74726.59793217159,-76816.46368699834,-187500.02235174447
1741731684.3898723,-76632.33001617552,-84072.13050986893,-74636.43099503887,-76450.6997407317,-126485.25851789219,-74885.00474512634,-76018.64052041061,-187500.02235174447
1741731684.38988,-76095.6646318036,-83097.95207952883,-75903.88666437706,-74909.90458844956,-128068.03024626139,-74686.54360610768,-75001.07735408275,-187500.02235174447
1741731684.389887,-75815.15023888949,-82882.74948391313,-76530.45076494823,-74264.81089172493,-128567.59173483751,-74497.69371720478,-75655.46937650077,-187500.02235174447
1741731684.389895,-76313.012994887,-83827.02128017203,-75339.21454420264,-75718.74716505375,-127051.9869985565,-74673.19961466786,-76750.4142821329,-187500.02235174447
1741731684.3899035,-76686.3988860129,-84188.31487754761,-74586.96658455928,-76574.52840501409,-126389.97303127922,-74903.60139651316,-76284.46981721757,-187500.02235174447
1741731684.3899112,-76207.5351128024,-83265.61251468808,-75651.02137935418,-75205.77462980445,-127791.36035339361,-74738.15378405497,-75083.66704984511,-187500.02235174447
1741731684.3899188,-75802.63326199452,-82811.06743944496,-76570.50509101214,-74195.40872519121,-128674.94716345635,-74506.99204289819,-75434.94706570472,-187500.02235174447
1741731684.3899264,-76227.62933106773,-83672.83894691932,-75622.7017191293,-75432.04133892553,-127384.93858396275,-74638.42030029539,-76680.81094989908,-187500.02235174447
1741731684.389934,-76679.98393535423,-84234.60534031455,-74575.32132569807,-76596.12019015792,-126332.88667594036,-74882.52370149181,-76475.17490091025,-187500.02235174447
1741731684.3899412,-76343.5231260685,-83469.59453458722,-75411.65654798229,-75534.56879074202,-127514.15401865888,-74800.02341270726,-75244.1078715453,-187500.02235174447
1741731684.3899488,-75810.90340744298,-82779.95381116317,-76540.55375344203,-74206.1599142742,-128686.27949789519,-74520.26897910464,-75241.42566221066,-187500.02235174447
1741731684.3899565,-76093.18358816905,-83465.7500345409,-75859.89843128901,-75107.20343675655,-127672.87375603602,-74575.41073267588,-76487.7589330386,-187500.02235174447
1741731684.3899643,-76646.1433942489,-84229.71030827884,-74628.98786413526,-76540.37493948638,-126355.73015877369,-74849.84545109814,-76629.2901789296,-187500.02235174447
1741731684.389972,-76441.02143538254,-83643.58051342733,-75149.9399721551,-75828.76245126277,-127201.16254105122,-74831.89700030054,-75408.16967584725,-187500.02235174447
1741731684.3899794,-75844.65454157049,-82789.31919208994,-76434.07004285694,-74289.7330867926,-128618.06197381759,-74545.57115382804,-75080.24723294345,-187500.02235174447
1741731684.3899868,-75995.46176141045,-83279.71646543939,-76095.17289342558,-74814.95437800341,-127976.47750097245,-74538.64211304691,-76289.54366320893,-187500.02235174447
1741731684.3899944,-76583.11147488494,-84177.4742814868,-74747.27329579274,-76402.55408317495,-126454.03313088813,-74807.7571162888,-76735.79624125913,-187500.02235174447
1741731684.3900027,-76504.6568518468,-83800.95914613715,-74903.19906511296,-76081.40421884111,-126894.40720014658,-74848.50434643083,-75575.67364879533,-187500.02235174447
1741731684.3900185,-75881.78078911077,-82836.32491067945,-76250.00342726748,-74433.92419027378,-128454.58131487148,-74574.20373847529,-74940.68294056451,-187500.02235174447
1741731684.390026,-75890.31915549269,-83096.00747776122,-76274.7021048906,-74549.81798527455,-128229.20867552861,-74507.77435395413,-76032.7444711619,-187500.02235174447
1741731684.3900385,-76515.0057095296,-84095.37632410244,-74929.90939973705,-76212.05016518237,-126644.78291806972,-74777.69401999642,-76812.68624218539,-187500.02235174447
1741731684.390046,-76630.31835917453,-83998.7273810777,-74767.41221754697,-76344.26073363551,-126705.93729089944,-74906.99886167036,-75882.98778331134,-187500.02235174447
1741731684.3900535,-76005.83297083771,-82974.61515362444,-76081.76184675239,-74687.75060030825,-128284.95392620015,-74644.25410559823,-74964.15227224259,-187500.02235174447
1741731684.390061,-75830.17061116346,-82953.78332779209,-76435.79112718,-74355.46956723566,-128453.0166927596,-74494.87739740341,-75799.48166602632,-187500.02235174447
1741731684.3900683,-76415.29457751449,-83960.34943584794,-75155.93023966912,-75953.66399927903,-126878.31394413876,-74725.79326937119,-76802.35973624703,-187500.02235174447
1741731684.390076,-76676.27354577465,-84117.86217902448,-74642.26480034171,-76497.39253489883,-126515.92511128487,-74912.43033557301,-76102.99600398494,-187500.02235174447
1741731684.3900836,-76142.26801899291,-83142.14147831696,-75870.29199246073,-74977.8985950826,-128056.98848450047,-74712.80690584266,-75036.52722078886,-187500.02235174447
1741731684.3900907,-75790.25039556628,-82839.96824502567,-76527.54503816903,-74218.7215946581,-128601.0075927982,-74486.71901067722,-75567.09057892449,-187500.02235174447
1741731684.3900983,-76304.74284943854,-83797.6287362133,-75408.41554503627,-75658.64332421342,-127157.77780506347,-74671.23266115578,-76745.34043614155,-187500.02235174447
1741731684.390106,-76680.78859815463,-84191.98056363828,-74574.44960766431,-76573.70139046924,-126388.65427835635,-74894.50423651985,-76316.67868097767,-187500.02235174447
1741731684.3901143,-76205.03171742341,-83280.72229393986,-75575.07015169504,-75247.19241228014,-127727.41201250697,-74732.90112410797,-75066.8138345258,-187500.02235174447
1741731684.3901217,-75763.29419175317,-82770.07434011392,-76541.1125470534,-74160.07061720737,-128676.19886114585,-74490.45175200126,-75336.91231452374,-187500.02235174447
1741731684.3901293,-76151.16401328612,-83592.41737036912,-75637.54327744762,-75325.40116612926,-127432.86072407494,-74606.12202955747,-76579.46814053871,-187500.02235174447
1741731684.3901372,-76644.22114422574,-84215.13697089397,-74555.33886615501,-76568.38167528888,-126335.43477480827,-74872.84539614266,-76470.1010549189,-187500.02235174447
1741731684.3901453,-76336.70584400963,-83489.1523109856,-75332.55372435495,-75581.59686107599,-127452.10557605095,-74807.7571162888,-75244.37609247876,-187500.02235174447
1741731684.3901532,-75794.67604096842,-82768.2414970686,-76508.76957282658,-74206.89752184124,-128691.66626830892,-74533.47886007772,-75181.36652485926,-187500.02235174447
1741731684.3901606,-76075.27984086036,-83437.34096733821,-75924.02558613129,-75051.63700004066,-127777.99401020934,-74590.8110846056,-76467.44119732872,-187500.02235174447
1741731684.390168,-76643.81881282554,-84238.7851165277,-74668.37163786551,-76529.84726784793,-126412.10125828997,-74865.53637570576,-76685.59422321251,-187500.02235174447
1741731684.390175,-76450.5432785205,-83681.93610691263,-75102.24134948746,-75888.88864384755,-127160.25884869801,-74848.97373306438,-75445.83236525445,-187500.02235174447
1741731684.3901849,-75846.57679159364,-82798.05872417196,-76408.25377801106,-74320.22086622965,-128616.76557263918,-74563.43019764785,-75050.54176456234,-187500.02235174447
1741731684.3901925,-75948.36663584312,-83222.58540661162,-76127.94055079705,-74748.23442080432,-128042.3704436267,-74531.10957516546,-76212.11722041575,-187500.02235174447
1741731684.3902,-76588.81116972103,-84178.14483382045,-74807.57830233316,-76389.59007139088,-126538.23215225126,-74825.61616010859,-76791.6756023974,-187500.02235174447
1741731684.390212,-76552.53428847007,-83861.2418009331,-74899.5780825112,-76160.3729320017,-126899.16812171557,-74882.07666660269,-75679.8104262126,-187500.02235174447
1741731684.3902204,-75952.16643240053,-82901.25672832213,-76275.26089850199,-74524.9404936958,-128499.55302471555,-74622.39409952094,-75021.708014215,-187500.02235174447
1741731684.390228,-75890.6097281706,-83076.09207345154,-76346.20533540312,-74524.13583089541,-128323.2424644521,-74513.56345576805,-76026.01659608085,-187500.02235174447
1741731684.3902352,-76472.0456566865,-84050.35991076946,-74971.68481012402,-76151.99102783097,-126691.92274712597,-74752.10127259509,-76795.60950942153,-187500.02235174447
1741731684.3902705,-76610.29119614259,-84000.24729970066,-74724.04983330368,-76362.18683268868,-126656.15995599747,-74888.55867249474,-75897.44936197394,-187500.02235174447
1741731684.390278,-75981.44721763697,-82968.04374075458,-76005.7435638599,-74709.72236510782,-128219.23979750155,-74627.02091062319,-74914.59845478517,-187500.02235174447
1741731684.3902855,-75788.26109030975,-82907.53756851406,-76438.3392260479,-74303.34529916589,-128486.54430944257,-74477.30892626154,-75720.13297320998,-187500.02235174447
1741731684.3902936,-76391.33350745839,-83935.3601855469,-75209.68618508414,-75901.9644143539,-126959.98721837846,-74721.32292048013,-76812.39566950747,-187500.02235174447
1741731684.3903012,-76693.3502785385,-84152.99912130822,-74640.78958520766,-76536.97747432918,-126526.07280326758,-74922.62273104463,-76190.52543527192,-187500.02235174447
1741731684.390309,-76160.7752634019,-83177.92662118991,-75821.9451692039,-75044.4620900705,-128024.77962074037,-74722.2393420028,-75066.65737231463,-187500.02235174447
1741731684.3903167,-75785.9812123753,-82830.35699490989,-76543.4147767323,-74212.8654376108,-128650.33789281106,-74488.39539151137,-75539.03913963308,-187500.02235174447
1741731684.390324,-76252.12684299074,-83743.02342450898,-75438.4562895842,-75584.50258785518,-127212.13724757878,-74643.36003582002,-76697.48535126273,-187500.02235174447
1741731684.390332,-76665.54470843611,-84194.34984855054,-74556.43410163333,-76578.50701552714,-126381.74758931967,-74885.16120733753,-76340.70680626713,-187500.02235174447
1741731684.3903394,-76239.45340388459,-83327.61625380711,-75532.87005816342,-75324.77531728451,-127696.23132899182,-74752.74947318429,-75116.0323758164,-187500.02235174447
1741731684.390348,-75760.92490684091,-82759.21139230864,-76535.43520396177,-74161.21055617458,-128693.78968403218,-74493.49158924718,-75297.43913381567,-187500.02235174447
1741731684.3903556,-76146.24662950596,-83568.67981775758,-75705.93961548086,-75277.03199112797,-127525.66516705338,-74604.28918651213,-76576.45065503725,-187500.02235174447
1741731684.390363,-76643.4388331698,-84219.69672676286,-74571.20860471828,-76563.24077406416,-126351.88565872738,-74863.50236696034,-76518.20200898671,-187500.02235174447
1741731684.3903704,-76353.08967269537,-83518.94718634454,-75273.32160154839,-75634.92812334636,-127395.17568292329,-74805.11961044307,-75270.59468872484,-187500.02235174447
1741731684.3903778,-75815.17259063394,-82771.81777618144,-76494.73267730864,-74224.64480693876,-128702.3280504141,-74535.82579324553,-75164.04392290639,-187500.02235174447
1741731684.3903875,-76059.20893659699,-83388.74827489236,-75964.01285696184,-74984.82763586374,-127847.66439767652,-74570.44864540681,-76426.00106310858,-187500.02235174447
1741731684.3903952,-76639.19200172329,-84221.35075585256,-74684.28607991769,-76498.71128782169,-126440.71149119276,-74846.87266908558,-76710.98580491374,-187500.02235174447
1741731684.3904026,-76464.44606357171,-83703.57259554537,-75040.84110746875,-75928.13830711106,-127103.32895557034,-74841.26238122731,-75476.38719992485,-187500.02235174447
1741731684.390415,-75841.61470432457,-82791.10733164637,-76353.96139072912,-74326.90403782178,-128582.81327281157,-74555.4953283662,-75000.74207791591,-187500.02235174447
1741731684.3904223,-75932.0275106463,-83189.10249341757,-76162.7198651695,-74687.10239971905,-128107.57048220283,-74524.38170008441,-76168.30780128334,-187500.02235174447
1741731684.39043,-76551.34964601394,-84145.13130725996,-74813.07683146917,-76325.68643399316,-126556.71704491581,-74804.71727904287,-76774.08477951107,-187500.02235174447
1741731684.3904374,-76565.54300374306,-83891.43900769223,-74847.47616618588,-76196.91803418614,-126852.0953478927,-74889.56450099523,-75719.88710402098,-187500.02235174447
