Timestamp,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
1741815628.5048673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1741815628.9886065,5141.527073565373,3113.9109270466483,-10312.312580622744,8830.235461024698,-7782.25157049317,6847.322803416587,10826.492110072626,-187500.02235174447
1741815628.9887476,5236.432580522607,3184.2518668474995,-10251.69464965995,8911.059368975088,-7714.816357471509,6918.066074617634,10917.240192561174,-187500.02235174447
1741815628.9887636,5191.662036378627,3462.486381827162,-9954.438800148822,9181.068441995198,-7419.4157027501715,7209.9798572039435,11162.97527110282,-187500.02235174447
1741815628.9887788,5135.49210256244,3445.834332207958,-9959.78086707364,9155.676860293968,-7436.067752369375,7193.1936971180085,11117.53417462518,-187500.02235174447
1741815628.9887936,5147.807913757314,3168.2480178174997,-10258.802504396737,8880.482182560228,-7738.129226938395,6908.454824501851,10865.451200658226,-187500.02235174447
1741815628.988814,5244.903891671168,3162.615378214762,-10274.627539471096,8885.779545996136,-7754.91538702433,6899.894106375469,10890.351043981438,-187500.02235174447
1741815628.9888284,5233.236281065498,3454.037422423056,-9971.73905035723,9164.416392375993,-7451.781028721456,7195.607685519181,11152.313488997637,-187500.02235174447
1741815628.9888425,5155.072230705289,3493.778824064592,-9920.508852065666,9203.956628317432,-7395.611094905269,7243.127494231164,11164.785762403699,-187500.02235174447
1741815628.9888587,5154.245216160442,3216.4830823520524,-10199.68214031245,8941.0107065452,-7678.360662264903,6960.75790652727,10918.849518161955,-187500.02235174447
1741815628.9888728,5241.796999191881,3137.916700591648,-10294.744109480871,8867.9428539208,-7771.567436643534,6875.083670030078,10871.8661513169,-187500.02235174447
1741815628.988889,5263.254673868975,3418.878128394858,-10004.998446106727,9141.975240942866,-7482.425270369682,7158.459086234461,11131.593421887568,-187500.02235174447
1741815628.9889033,5181.335530440275,3533.117894305932,-9876.14063932188,9247.095495116175,-7348.001879215465,7279.158506293119,11209.355140847581,-187500.02235174447
1741815628.988918,5155.608672572216,3271.5801324343843,-10155.716258968861,8991.413890291917,-7624.045923238507,7015.497328698317,10961.273129138128,-187500.02235174447
1741815628.9889357,5228.520062985428,3123.6786393736174,-10322.460272605453,8846.060496099055,-7791.460489208757,6857.694012843849,10847.390991138338,-187500.02235174447
1741815628.9889495,5270.094307672299,3362.7528980675816,-10066.286929403179,9084.486554203815,-7542.417352487726,7096.187126181976,11078.552732295124,-187500.02235174447
1741815628.9889655,5197.629952148193,3547.601824712971,-9864.875360116406,9264.060469157752,-7331.305126107351,7294.782375667379,11226.029542211241,-187500.02235174447
1741815628.9889796,5155.742783038948,3322.184481881199,-10100.328636208611,9046.64505084098,-7568.948873156175,7068.359204335118,11001.662731368868,-187500.02235174447
1741815628.9889946,5197.9652283150235,3108.8370810552933,-10329.1881476865,8840.830187896514,-7802.882230625419,6843.858283026014,10826.268592628074,-187500.02235174447
1741815628.9890084,5258.6055110222715,3290.3108942879317,-10137.320773282145,9032.138768689487,-7608.712626542167,7026.337924759141,11016.481937942737,-187500.02235174447
1741815628.9890225,5175.50172513744,3524.7806936241027,-9881.013319613137,9250.627070740113,-7351.68991705059,7266.596825909237,11208.438719324913,-187500.02235174447
1741815628.9890385,5115.710808719494,3352.3146334069534,-10056.072182187103,9083.145449536498,-7527.218166258117,7097.528230849294,11027.99308633722,-187500.02235174447
1741815628.9890575,5145.5503875673285,3090.106319201746,-10338.352362913176,8827.396789478873,-7806.97259986074,6831.788341020148,10807.157851118785,-187500.02235174447
1741815628.989084,5226.195481562077,3206.9612392140916,-10221.318628945188,8952.834779362056,-7690.050624615029,6945.1340371530105,10941.245966106173,-187500.02235174447
1741815628.9890983,5179.078004250289,3505.804062581547,-9913.088072906503,9227.78358790679,-7374.891027795199,7240.869968041178,11189.462088282358,-187500.02235174447
1741815628.9891129,5126.0596664023005,3411.3008870245085,-10003.322065272578,9138.868348463577,-7455.178493878662,7153.519350709838,11082.62074978599,-187500.02235174447
1741815628.9891288,5139.537768308851,3131.948784822081,-10291.145478623566,8863.316042818553,-7749.506264866146,6874.256655485232,10842.853587013911,-187500.02235174447
1741815628.989143,5241.908757914157,3203.2508496345104,-10234.394399451543,8939.110808266498,-7698.298418319037,6940.328412095119,10933.892242180376,-187500.02235174447
1741815628.9891567,5223.17799606061,3523.50664419015,-9901.576924512021,9243.519216003326,-7365.7044608240685,7262.953491563022,11211.545611804202,-187500.02235174447
1741815628.9891708,5155.899245250135,3511.8166818400246,-9907.567192026043,9226.934221617488,-7363.5363416119035,7247.6648983555915,11174.374660775025,-187500.02235174447
1741815628.989188,5153.328794637775,3207.497681081019,-10213.182593963456,8939.870767577979,-7685.692034446244,6941.870682462536,10913.753320426145,-187500.02235174447
1741815628.989204,5249.843627195791,3184.117756380768,-10242.508082688819,8927.219680216274,-7717.453863317235,6916.0320658722,10921.934058896788,-187500.02235174447
1741815628.989218,5245.239167837998,3483.407614637329,-9943.665259321364,9212.696160399457,-7401.400196719193,7220.23930790893,11187.964521403852,-187500.02235174447
1741815628.989232,5174.674710592593,3562.6669004758483,-9859.466237958222,9279.416117598548,-7316.485919533482,7301.107919348231,11228.577641079146,-187500.02235174447
1741815628.989246,5165.622254088194,3282.040748839468,-10145.81443617516,9013.408006835938,-7613.741769044611,7015.609087420594,10972.828981021523,-187500.02235174447
1741815628.9892616,5251.520008029939,3184.2518668474995,-10236.115483774602,8930.818311073579,-7725.232270387683,6915.965010638834,10921.35291354095,-187500.02235174447
1741815628.9892771,5262.248845368486,3458.7983439920363,-9950.236672191224,9199.463927681914,-7442.169778605674,7195.205354118986,11176.520428242735,-187500.02235174447
1741815628.989292,5178.474507149996,3603.3023718955965,-9802.55869657501,9324.879565820644,-7280.812535382812,7340.715210523035,11273.23642650085,-187500.02235174447
1741815628.9893093,5140.0295066868675,3347.71017404916,-10068.633862570985,9073.377737209528,-7544.406657744248,7079.557428307227,11028.618935181968,-187500.02235174447
1741815628.989324,5208.381141231196,3197.7076170095943,-10236.964850063903,8930.080703506554,-7714.548136538046,6922.379961297508,10915.452053004748,-187500.02235174447
1741815628.9893389,5245.708554471559,3434.9713844026787,-9991.341530244534,9165.824552276677,-7470.66825278619,7168.942054384,11146.099704039063,-187500.02235174447
1741815628.9893548,5152.1218004371885,3634.48305541075,-9773.4567252942,9350.718182410978,-7247.3743256776725,7380.903647053677,11301.71254893691,-187500.02235174447
1741815628.989369,5095.393073009619,3415.994753360123,-9992.772041889673,9143.517511310281,-7464.946206205632,7159.889597879601,11089.661549289413,-187500.02235174447
1741815628.9893825,5129.121855392677,3184.9224191811586,-10234.886137829559,8925.677409848859,-7706.881488189875,6923.408141542452,10904.857326132933,-187500.02235174447
1741815628.9894004,5195.350074213752,3360.897703277791,-10059.491999088765,9107.41944401496,-7528.447512203159,7101.6186000846155,11083.224246886284,-187500.02235174447
1741815628.9894145,5118.303611076309,3598.7426160267137,-9805.75499603212,9324.901917565097,-7276.364538236206,7342.972736713021,11275.404545713014,-187500.02235174447
1741815628.9894338,5071.297892486798,3453.1433526448436,-9956.49516063871,9176.598093104136,-7420.220365550562,7194.04306340731,11116.461290891326,-187500.02235174447
1741815628.9894476,5115.442587786029,3194.6677797636726,-10241.055219299224,8921.341171424529,-7700.734758464666,6928.213766600343,10895.715462650713,-187500.02235174447
1741815628.989463,5216.450120979563,3298.8269089254036,-10129.989401100804,9037.346725147572,-7599.749577015588,7030.718866672381,11019.477071699748,-187500.02235174447
1741815628.9894776,5179.368576928208,3580.5929995290044,-9830.900708544339,9303.131318465628,-7303.119576349209,7318.385817812183,11262.46288567339,-187500.02235174447
1741815628.989492,5132.094637405234,3509.514452161128,-9901.465165789743,9230.555204219247,-7370.174809715129,7247.933119289055,11173.346480530081,-187500.02235174447
1741815628.9895077,5162.336547653264,3229.357687158309,-10198.92218100097,8956.165189285897,-7663.496752202124,6961.137886183011,10927.477291521704,-187500.02235174447
1741815628.9895215,5250.9165109296455,3245.1156669993006,-10200.196230434924,8981.333253542572,-7658.780534122055,6979.6451305920045,10966.704603040767,-187500.02235174447
1741815628.9895356,5222.440388493585,3523.439588956784,-9902.806270457062,9248.59306199468,-7364.363356156749,7262.372346207184,11212.21616413786,-187500.02235174447
1741815628.9895537,5148.21024515751,3517.0022865536557,-9891.786860440596,9241.060524113242,-7365.615053846247,7256.382078693161,11182.421288778936,-187500.02235174447
1741815628.9895675,5150.4230678585855,3226.004925490013,-10201.82790778016,8962.066049822099,-7662.490923701635,6963.753040284281,10921.531727496593,-187500.02235174447
1741815628.9895833,5235.739676444492,3167.9350933951255,-10271.40888826953,8916.75906381119,-7723.734703509177,6897.7036354188485,10898.978817341187,-187500.02235174447
1741815628.989597,5220.808711148347,3433.9432041577347,-9975.628253892453,9180.755517572823,-7444.8072844514,7169.7690689288465,11149.251300007261,-187500.02235174447
1741815628.989611,5142.644660788138,3507.12281550441,-9893.887924419394,9246.737867204889,-7364.162190456652,7254.5939391367365,11187.383376048014,-187500.02235174447
1741815628.989625,5129.367724581686,3230.4752743810745,-10189.243875651822,8975.030061606176,-7661.7086126457,6973.5431043557055,10925.040951376075,-187500.02235174447
1741815628.989639,5206.101263296755,3115.6767148586173,-10322.236755160899,8866.892321931402,-7795.506154955167,6850.384992406964,10846.698087060224,-187500.02235174447
1741815628.9896567,5215.019609334423,3356.740278809104,-10071.338423650077,9099.931609622432,-7541.389172242782,7092.342626135663,11074.462363059803,-187500.02235174447
1741815628.9896748,5132.8098932278035,3498.0256555111,-9914.228011873724,9232.097474586662,-7380.076632508831,7242.032258752854,11177.615663721046,-187500.02235174447
1741815628.9896889,5112.53686100684,3254.0116612925126,-10164.835770706626,8995.59366650506,-7630.7290948306445,6993.033825520733,10942.54236728458,-187500.02235174447
1741815628.9897027,5173.557123369828,3062.926597944093,-10374.562188930773,8816.399731206862,-7835.761646719176,6800.764119716182,10792.942141645211,-187500.02235174447
